Reference,Section,Section Title,Reporting Treatment,Primary Principle,High Level Premise,Sub-premise,Behaviour,Final Question,Scoring Direction,Matched Q
S14,2,Structures for Success,Baseline,Space,hold the tension of space for insights to emerge,,we can hang in the unknown / uncertainty,...we remain with uncertainty long enough for a better answer to emerge.,Positive,
S15,2,Structures for Success,Baseline,Space,Space is both internal and external,Need for external space for insights to land,Consciously and intentionally create external space,...we create space for reflection and discovery as well as action.,Positive,
S16,2,Structures for Success,Matched pressure comparison + pressure availability,Space,Space is both internal and external,Need for internal space to receive insights,Pause before responding,"...when difficult issues arise, we make enough space to give a considered response rather than reacting immediately.",Positive,S15
S17,2,Structures for Success,Matched pressure comparison + pressure availability,Structure,Focus Creates Reality,Focus on ER taps in natural ability - focus in the how taps you into cage,Focus on ER vs Fixing Problems,"...when the pressure is high, we remain focused on our goals rather than becoming distracted by noise, drama or other people's opinions.",Positive,S4
S18,2,Structures for Success,Matched pressure comparison + pressure availability,Space,hold the tension of space for insights to emerge,,we can hang in the unknown / uncertainty,"...when the pressure is high, people continue to hold out for a stronger rather than a quick answer.",Positive,S14
S19,3,Team Dynamics for Effective Creation,Baseline,Self,We have Choice,Self-awareness - awareness gives choice,Choose to become more aware,...we hold ourselves accountable to our agreed values and behaviours,Positive,
S20,3,Team Dynamics for Effective Creation,Baseline,Self,We have Choice,Self-awareness - awareness gives choice,Choose to become more aware,"...when something repeatedly does not work, we examine how our own behaviour may be contributing to the result.",Positive,
S21,3,Team Dynamics for Effective Creation,Baseline,Self,We have Choice,Self-responsibility - we can't change it unless we own it,We take responsibility,...we can acknowledge our contribution to a situation and are willing to take responsibility.,Positive,
S22,3,Team Dynamics for Effective Creation,Baseline,Self,We have Choice,Self-mastery - can choose where we want to come from,We choose the higher choice,...we can take feedback and/or be challenged without taking it personally.,Positive,
S23,3,Team Dynamics for Effective Creation,Baseline,Self,We have Choice,Self-mastery - can choose where we want to come from,We choose the higher choice,...we recognise and challenge unhelpful patterns within the team.,Positive,
S24,3,Team Dynamics for Effective Creation,Baseline,Spirit,spirit knows best,When we are led by spirit /intuition we create beyond what we think is rationally possible,receptivity to creative spirit,...people can voice a deeper sense of what is true even when they cannot yet fully explain it rationally.,Positive,
S25,3,Team Dynamics for Effective Creation,Baseline,Spirit,spirit knows best,When we are led by spirit /intuition we create beyond what we think is rationally possible,receptivity to creative spirit,...we are willing to question assumptions that are widely accepted when inner knowing suggests they may no longer be effective.,Positive,
S26,3,Team Dynamics for Effective Creation,Baseline,Spirit,spirit knows best,When we are led by spirit /intuition we create beyond what we think is rationally possible,Using / Following through on creative spirit-led,"...intuitive intelligence, as well as data and analysis, influences important decisions.",Positive,
S27,3,Team Dynamics for Effective Creation,Baseline,Spirit,spirit knows best,When we are led by spirit /intuition we create beyond what we think is rationally possible,Using / Following through on creative spirit-led,...we can move towards an end result without needing to know every step in advance.,Positive,
S28,3,Team Dynamics for Effective Creation,Pressure,Spirit,spirit knows best,When we are led by spirit /intuition we create beyond what we think is rationally possible,receptivity to creative spirit,"...when we are under pressure to act quickly, it remains open to an intuitive insight that could change its current direction.",Positive,
S29,3,Team Dynamics for Effective Creation,Pressure Shift,Self,We have Choice,Self-Responsibility under pressure,We take responsibility,"..when challenged or under pressure, people can own their contribution to the situation without becoming defensive or deflecting onto others.",Positive,S21
S30,3,Team Dynamics for Effective Creation,Pressure,Self,We have Choice,Self-Awareness under pressure,We are aware,"...when under pressure, people still recognise when their own beliefs and assumptions are influencing their behaviour.",Positive,
S31,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy requires Self-mastery,Conflict creates,Willing to engage in conflict where necessary,...we hold one another accountable to our commitments regardless of role or seniority.,Positive,
S32,3,Team Dynamics for Effective Creation,Baseline,Synergy,We are relational beings,we need to be effective in our realtionship to others in order to be able to powerfully create,we support each other,...people are willing to support the team beyond their familiar roles in order to create the end result.,Positive,
S33,3,Team Dynamics for Effective Creation,Baseline,Synergy,We are relational beings,we need to be effective in our realtionship to others in order to be able to powerfully create,we champion and support each other,...we serve and champion one another inside and outside the room.,Positive,
S34,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy creates a higher Collective intelligence,We value diversity of thought and opinion,We actively use diversity of opiniong,"...we use our different perspectives, strengths and ways of working to create something better than any one of us would create alone.",Positive,
S35,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy creates a higher Collective intelligence,We value diversity of thought and opinion,We actively seek diversity of opinions,...we actively invite rigorous discussion,Positive,
S36,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy requires Self-mastery,Keep your energy in,Be present in the room,"...people are present and engaged rather than distracted by phones, laptops or things happening outside the room.",Positive,
S37,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy requires Self-mastery,Creativity requires communication without manipulation,No collusion,...when people have something to say they say it in the room rather than having sider conversations afterwards.,Positive,
S38,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy requires Self-mastery,Creativity requires communication without manipulation,No collusion,"...when people collude, we bring the conversation back to focusing on creating the desired end result.",Positive,
S39,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy requires Self-mastery,Conflict creates,Willing to engage in conflict where necessary,"...people are willing to have difficult conversations directly with the person involved, (or an appropriate person or forum) rather than complaining to others who cannot resolve it.",Positive,
S40,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy requires Self-mastery,Conflict creates,Conflict not taken personally,...different opinions improve the quality of our thinking without damaging the quality of our relationships.,Positive,
S41,3,Team Dynamics for Effective Creation,Baseline,Synergy,Synergy requires Self-mastery,Let go of attachment to ego,Let go of attachment to behaviours,"...people can support and act on a decision that best serves the agreed outcome, even when it was not their preferred option.",Positive,
S42,3,Team Dynamics for Effective Creation,Matched pressure comparison + pressure availability,Synergy,Synergy requires Self-mastery,Conflict creates,Conflict not taken personally,"...when the stakes are high, disagreement can still improve our thinking rather than threatening relationships.",Positive,S40
S43,3,Team Dynamics for Effective Creation,Matched pressure comparison + pressure availability,Synergy,Synergy requires Self-mastery,Creativity requires communication without manipulation,No collusion / Direct Communication,"...under pressure, people continue to say what needs to be said in the room.",Positive,S37
S44,4,Impact and Contribution,Baseline,Structure,Tension Seeks Resolution along the path of least resistance,Creative Structure creates tension - ER and a CR,clear about vision,My goals are clear and aligned to the teams strategy,Positive,
S45,4,Impact and Contribution,Baseline,Structure,Focus Creates Reality,Focus on ER taps in natural ability - focus in the how taps you into cage,Focus on ER vs Fixing Problems,"I stay focused on my goals, putting energy into what matters most.",Positive,
S46,4,Impact and Contribution,Baseline,Self,Focus Creates Reality,Focus on ER taps in natural ability - focus in the how taps you into cage,Focus on ER vs Fixing Problems,I recognise when I get pulled into busy work rather than activity that progresses the goal.,,
S47,4,Impact and Contribution,Baseline,Synergy,Synergy requires Self-mastery,Let go of attachment to ego,Let go of attachment to ideas,I allow another person's perspective to change my position.,Positive,
S48,4,Impact and Contribution,Baseline,Self,We have Choice,Self-mastery - can choose where we want to come from,We choose the higher choice,I can notice when I'm attached to being right and can let go of the attachment,Positive,
S49,4,Impact and Contribution,Baseline,Spirit,our creative spirit / intuition is always available,What obvious outside T&F /,Recognising noise / quieten the noisy mind,"I notice when fear, urgency or the need for certainty is influencing how I am making a decision.",Positive,
S50,4,Impact and Contribution,Pressure,Self,We have Choice,Self-mastery - can choose where we want to come from,We choose the higher choice,"When under pressure, I can separate what has actually happened from the assumptions I'm making.",Positive,
S51,4,Impact and Contribution,Baseline,Space,Space is both internal and external,Need for external space for insights to land,Consciously and intentionally create external space,I make space in my diary for creative and reflective time.,Positive,
S52,4,Impact and Contribution,Matched pressure comparison + pressure availability,Space,Space is both internal and external,Need for external space for insights to land,Consciously and intentionally create external space,"Under pressure, I still make space in my diary for creative and reflective time.",Positive,S51
S53,4,Impact and Contribution,Baseline,Synergy,Synergy requires Self-mastery,Creativity requires communication without manipulation,Direct Communication,"I share ideas openly and directly, even when I'm unsure how those ideas will be received",Positive,
S54,4,Impact and Contribution,Baseline,Synergy,We are relational beings,we need to be effective in our realtionship to others in order to be able to powerfully create,we champion and support each other,My contribution is valued within the team,Positive,
